HomeTeam,AwayTeam,HomeXG,AwayXG
Liverpool,Bournemouth,2.33007,1.57303
Aston Villa,Newcastle United,0.318601,1.40098
Brighton,Fulham,1.44008,0.902883
Sunderland,West Ham,0.724368,0.558948
Tottenham,Burnley,1.97858,0.734138
Wolverhampton Wanderers,Manchester City,0.519436,2.29903
Chelsea,Crystal Palace,1.36793,1.03414
Manchester United,Arsenal,1.37653,1.3304
Nottingham Forest,Brentford,1.7555,1.32516
Leeds,Everton,2.3812,0.674338
West Ham,Chelsea,0.978572,3.94997
Arsenal,Leeds,2.73761,0.156761
Bournemouth,Wolverhampton Wanderers,1.78462,0.373367
Brentford,Aston Villa,1.12964,0.976852
Burnley,Sunderland,1.00381,1.12127
Manchester City,Tottenham,1.2475,1.28015
Crystal Palace,Nottingham Forest,1.10188,1.32987
Everton,Brighton,1.80116,2.08487
Fulham,Manchester United,1.65333,1.54603
Newcastle United,Liverpool,1.96342,0.646559
Chelsea,Fulham,2.4324,0.736228
Leeds,Newcastle United,0.6773,0.303635
Manchester United,Burnley,4.02237,1.32618
Sunderland,Brentford,1.57127,1.44604
Tottenham,Bournemouth,0.17067,2.1201
Wolverhampton Wanderers,Everton,0.943257,2.03791
Aston Villa,Crystal Palace,1.20586,2.59713
Brighton,Manchester City,2.20864,2.13418
Liverpool,Arsenal,0.481404,0.485679
Nottingham Forest,West Ham,0.716018,2.236
Arsenal,Nottingham Forest,2.8817,0.293681
Bournemouth,Brighton,1.44187,0.624923
Brentford,Chelsea,1.17533,0.755999
Crystal Palace,Sunderland,1.75805,0.354129
Everton,Aston Villa,1.8927,0.354327
Fulham,Leeds,1.13979,0.830398
Newcastle United,Wolverhampton Wanderers,1.19186,0.375942
West Ham,Tottenham,0.793248,1.51402
Burnley,Liverpool,0.168041,2.79492
Manchester City,Manchester United,1.99725,1.51915
Brighton,Tottenham,1.40466,1.19181
Burnley,Nottingham Forest,1.14159,0.830779
Fulham,Brentford,1.52431,0.826556
Liverpool,Everton,1.06166,0.721371
Manchester United,Chelsea,1.34458,0.469843
West Ham,Crystal Palace,0.466365,2.33565
Wolverhampton Wanderers,Leeds,1.5661,0.456988
Arsenal,Manchester City,0.718575,1.1227
Bournemouth,Newcastle United,0.55066,0.153629
Sunderland,Aston Villa,0.938312,0.939354
Brentford,Manchester United,2.78726,2.23609
Chelsea,Brighton,2.02653,2.4751
Crystal Palace,Liverpool,3.53323,3.10176
Leeds,Bournemouth,2.04728,1.06033
Manchester City,Burnley,3.22133,0.509491
Nottingham Forest,Sunderland,1.4203,1.94154
Tottenham,Wolverhampton Wanderers,0.818711,1.15951
Aston Villa,Fulham,1.36575,0.952612
Newcastle United,Arsenal,0.739851,2.07048
Everton,West Ham,0.909703,0.775766
Bournemouth,Fulham,1.33458,0.84335
Arsenal,West Ham,3.0585,0.864549
Chelsea,Liverpool,1.23721,2.05981
Leeds,Tottenham,1.48051,0.688198
Manchester United,Sunderland,1.9298,0.807119
Aston Villa,Burnley,1.73572,0.502292
Brentford,Manchester City,0.693758,1.09647
Everton,Crystal Palace,2.13876,2.17789
Newcastle United,Nottingham Forest,3.81662,0.337689
Wolverhampton Wanderers,Brighton,0.369404,1.39158
