HomeTeam,AwayTeam,HomeXG,AwayXG
Manchester United,Fulham,2.04268,0.418711
Arsenal,Wolverhampton Wanderers,1.6283,0.575835
Everton,Brighton,0.405325,1.79083
Ipswich,Liverpool,0.342601,3.92906
Newcastle United,Southampton,0.433489,1.95483
Nottingham Forest,Bournemouth,1.24405,1.90915
West Ham,Aston Villa,2.8047,2.6703
Brentford,Crystal Palace,1.38064,1.14757
Chelsea,Manchester City,1.06123,1.18038
Leicester,Tottenham,1.02614,1.40775
Aston Villa,Arsenal,1.31664,1.41399
Brighton,Manchester United,2.14153,1.28556
Crystal Palace,West Ham,1.3761,1.53421
Fulham,Leicester,1.96218,0.857005
Manchester City,Ipswich,3.07818,0.479999
Southampton,Nottingham Forest,0.214952,2.86475
Tottenham,Everton,2.61143,0.648869
Bournemouth,Newcastle United,2.53513,1.89287
Liverpool,Brentford,2.71877,0.457239
Wolverhampton Wanderers,Chelsea,2.4181,2.02935
Arsenal,Brighton,2.41798,1.81748
Brentford,Southampton,3.86281,1.64713
Everton,Bournemouth,2.55629,2.95688
Ipswich,Fulham,0.707048,1.18883
Leicester,Aston Villa,0.774741,2.16385
Nottingham Forest,Wolverhampton Wanderers,1.41069,0.937632
West Ham,Manchester City,0.947201,3.19297
Chelsea,Crystal Palace,2.97743,0.459708
Manchester United,Liverpool,1.50087,2.10397
Newcastle United,Tottenham,1.58694,1.63304
Aston Villa,Everton,3.15876,0.852158
Bournemouth,Chelsea,1.53731,0.932726
Brighton,Ipswich,1.75696,0.721323
Crystal Palace,Leicester,2.88716,1.65187
Fulham,West Ham,2.88601,0.682719
Liverpool,Nottingham Forest,1.17044,0.589532
Manchester City,Brentford,1.55279,1.05094
Southampton,Manchester United,1.35593,3.02693
Tottenham,Arsenal,0.792595,1.1209
Wolverhampton Wanderers,Newcastle United,1.46969,1.48343
Aston Villa,Wolverhampton Wanderers,2.37351,0.520117
Crystal Palace,Manchester United,1.66928,2.35056
Fulham,Newcastle United,3.21141,1.09768
Leicester,Everton,1.33793,1.82377
Liverpool,Bournemouth,2.43731,1.46979
Southampton,Ipswich,2.89813,1.645
Tottenham,Brentford,3.89481,0.893565
West Ham,Chelsea,0.758267,2.39727
Brighton,Nottingham Forest,1.56836,1.36923
Manchester City,Arsenal,2.75588,1.28411
Arsenal,Leicester,6.05305,0.337909
Brentford,West Ham,0.370222,0.878617
Chelsea,Brighton,3.65839,1.20712
Everton,Crystal Palace,1.10959,1.12358
Newcastle United,Manchester City,1.34344,1.26516
Nottingham Forest,Fulham,0.614351,1.43592
Wolverhampton Wanderers,Liverpool,0.748925,2.11724
Ipswich,Aston Villa,1.84608,1.14494
Manchester United,Tottenham,0.600721,5.4072
Bournemouth,Southampton,1.44215,0.696068
Arsenal,Southampton,3.25165,1.27313
Brentford,Wolverhampton Wanderers,4.13513,0.696254
Crystal Palace,Liverpool,0.609481,2.07332
Everton,Newcastle United,0.692214,1.79048
Leicester,Bournemouth,0.912063,1.94963
Manchester City,Fulham,1.36684,2.75846
West Ham,Ipswich,4.39402,1.18463
Aston Villa,Manchester United,0.532809,0.448537
Brighton,Tottenham,1.97217,1.09279
Chelsea,Nottingham Forest,2.27752,1.66654
Bournemouth,Arsenal,2.18419,0.740758
Fulham,Aston Villa,2.63074,1.43595
Ipswich,Everton,1.174,1.60804
Manchester United,Brentford,1.76555,0.892843
Newcastle United,Brighton,1.93657,1.6779
Southampton,Leicester,2.42776,2.83826
Tottenham,West Ham,1.44052,0.858803
Liverpool,Chelsea,2.22517,1.33904
Wolverhampton Wanderers,Manchester City,0.761217,1.36569
Nottingham Forest,Crystal Palace,1.88573,0.835001
Leicester,Nottingham Forest,0.832415,2.54488
Aston Villa,Bournemouth,1.974,0.328651
Brentford,Ipswich,4.09663,1.65698
Brighton,Wolverhampton Wanderers,1.51347,1.11074
Everton,Fulham,0.884845,1.49531
Manchester City,Southampton,3.16286,0.369989
Arsenal,Liverpool,1.0883,1.35346
Chelsea,Newcastle United,1.61794,1.74225
Crystal Palace,Tottenham,0.978611,1.0192
West Ham,Manchester United,2.99312,2.62598
Bournemouth,Manchester City,2.4493,2.3527
Ipswich,Leicester,1.33617,2.33858
Liverpool,Brighton,1.81037,1.01568
Newcastle United,Arsenal,0.859715,0.911305
Nottingham Forest,West Ham,2.35011,0.132317
Southampton,Everton,0.540345,1.78581
Wolverhampton Wanderers,Crystal Palace,1.65018,2.64849
Manchester United,Chelsea,2.1605,1.21071
Tottenham,Aston Villa,2.09751,2.48749
Fulham,Brentford,1.43017,0.739231
Brentford,Bournemouth,1.56474,2.49234
Brighton,Manchester City,2.87116,2.60334
Crystal Palace,Fulham,1.96037,2.25331
Liverpool,Aston Villa,2.68196,1.66337
West Ham,Everton,1.1237,0.865983
Wolverhampton Wanderers,Southampton,0.912781,0.792655
Chelsea,Arsenal,1.24067,1.9605
Manchester United,Leicester,1.2369,0.417295
Nottingham Forest,Newcastle United,1.17852,1.86904
Tottenham,Ipswich,1.75088,2.18392
Arsenal,Nottingham Forest,1.66016,0.403136
Aston Villa,Crystal Palace,3.04455,1.61437
Bournemouth,Brighton,1.91157,1.23059
Everton,Brentford,1.5951,1.34314
Fulham,Wolverhampton Wanderers,0.717158,1.33903
Leicester,Chelsea,0.967987,2.81658
Manchester City,Tottenham,2.15899,3.30449
Ipswich,Manchester United,1.98714,1.26912
Southampton,Liverpool,1.53985,3.18835
Newcastle United,West Ham,1.49781,0.942824
Brighton,Southampton,1.86986,0.934969
Brentford,Leicester,2.21885,0.907555
Crystal Palace,Newcastle United,2.29595,0.020989
Nottingham Forest,Ipswich,1.76587,0.462771
West Ham,Arsenal,1.23539,3.99935
Wolverhampton Wanderers,Bournemouth,0.866034,3.07901
Chelsea,Aston Villa,1.94939,0.875443
Liverpool,Manchester City,3.70054,0.745015
Manchester United,Everton,1.76161,0.766749
Tottenham,Fulham,1.01086,1.57274
Ipswich,Crystal Palace,0.471708,1.65422
Leicester,West Ham,2.78061,2.87716
Arsenal,Manchester United,2.96684,0.256083
Aston Villa,Brentford,3.21673,1.13266
Everton,Wolverhampton Wanderers,1.49904,0.847724
Manchester City,Nottingham Forest,3.20169,0.802155
Newcastle United,Liverpool,1.52057,2.22766
Southampton,Chelsea,1.91014,5.8331
Bournemouth,Tottenham,3.27716,0.623934
Fulham,Brighton,0.666644,1.09939
Aston Villa,Southampton,2.51338,0.385832
Brentford,Newcastle United,1.746,1.95645
Crystal Palace,Manchester City,1.21476,1.5846
Manchester United,Nottingham Forest,1.4697,0.651217
Fulham,Arsenal,0.150988,2.4333
Ipswich,Bournemouth,1.5668,3.49127
Leicester,Brighton,1.42438,1.12184
Tottenham,Chelsea,3.25488,2.57326
West Ham,Wolverhampton Wanderers,1.19808,1.47567
Arsenal,Everton,1.30865,0.132166
Liverpool,Fulham,2.09698,1.2862
Newcastle United,Leicester,3.95461,0.186759
Nottingham Forest,Aston Villa,2.2861,0.389423
Wolverhampton Wanderers,Ipswich,1.23748,1.73349
Brighton,Crystal Palace,1.32323,3.00618
Chelsea,Brentford,2.59146,1.65861
Manchester City,Manchester United,0.638103,2.04662
Southampton,Tottenham,1.27356,3.89322
Bournemouth,West Ham,2.04842,1.81827
Aston Villa,Manchester City,2.05988,1.09627
Brentford,Nottingham Forest,0.769004,0.964897
Crystal Palace,Arsenal,1.6052,3.05434
Ipswich,Newcastle United,1.06427,3.23386
West Ham,Brighton,1.22937,1.34379
Everton,Chelsea,1.07081,1.51591
Fulham,Southampton,1.25255,0.280031
Leicester,Wolverhampton Wanderers,0.78868,1.13531
Manchester United,Bournemouth,2.28533,1.82831
Tottenham,Liverpool,1.20245,5.20214
Bournemouth,Crystal Palace,1.20189,0.500066
Chelsea,Fulham,1.55626,1.77929
Liverpool,Leicester,1.89935,0.22097
Manchester City,Everton,2.51965,0.653289
Newcastle United,Aston Villa,2.82867,0.225522
Nottingham Forest,Tottenham,1.30018,1.05758
Southampton,West Ham,2.19833,1.90111
Wolverhampton Wanderers,Manchester United,0.826489,0.358876
Arsenal,Ipswich,2.16462,0.0783327
Brighton,Brentford,1.33538,0.961233
Crystal Palace,Southampton,3.05417,1.21853
Everton,Nottingham Forest,0.615191,2.02753
Fulham,Bournemouth,0.961566,1.70692
Leicester,Manchester City,1.84208,1.58002
Tottenham,Wolverhampton Wanderers,2.28433,0.640697
West Ham,Liverpool,0.518279,3.29868
Aston Villa,Brighton,1.87997,0.938042
Ipswich,Chelsea,1.50093,1.60622
Manchester United,Newcastle United,1.00073,2.2424
Brentford,Arsenal,0.272604,1.99848
Aston Villa,Leicester,2.3456,0.81548
Bournemouth,Everton,2.61852,0.561015
Brighton,Arsenal,1.76513,1.81142
Crystal Palace,Chelsea,1.2766,1.51541
Manchester City,West Ham,1.97986,1.53286
Southampton,Brentford,0.249614,5.54874
Tottenham,Newcastle United,1.00333,2.42963
Fulham,Ipswich,2.65469,1.4434
Liverpool,Manchester United,2.862,1.67469
Wolverhampton Wanderers,Nottingham Forest,1.90463,2.57227
Brentford,Manchester City,2.39088,2.65315
Chelsea,Bournemouth,2.53808,1.14845
Nottingham Forest,Liverpool,0.5292,2.72291
West Ham,Fulham,0.937322,2.83581
Arsenal,Tottenham,2.25501,0.777071
Everton,Aston Villa,1.23126,1.28522
Leicester,Crystal Palace,2.09904,2.2647
Newcastle United,Wolverhampton Wanderers,2.13327,1.47433
Ipswich,Brighton,0.268127,1.06343
Manchester United,Southampton,3.10847,1.36705
Arsenal,Aston Villa,1.64458,1.20602
Brentford,Liverpool,1.20021,4.16249
Leicester,Fulham,0.676934,2.36823
Newcastle United,Bournemouth,0.837801,2.70174
West Ham,Crystal Palace,0.221062,1.62561
Everton,Tottenham,2.56089,1.35719
Ipswich,Manchester City,0.795637,3.20228
Manchester United,Brighton,1.31823,2.17172
Nottingham Forest,Southampton,2.36419,1.25922
Chelsea,Wolverhampton Wanderers,3.14882,1.06726
Bournemouth,Nottingham Forest,2.8254,0.996166
Brighton,Everton,0.64378,0.870883
Liverpool,Ipswich,2.16809,0.804707
Manchester City,Chelsea,2.23213,1.49843
Southampton,Newcastle United,0.825621,3.08319
Wolverhampton Wanderers,Arsenal,0.514724,0.887358
Aston Villa,West Ham,0.907851,1.67886
Crystal Palace,Brentford,1.23177,1.92037
Fulham,Manchester United,0.560571,0.201988
Tottenham,Leicester,1.27483,1.40469
Bournemouth,Liverpool,1.65273,2.7219
Everton,Leicester,3.11261,0.447136
Ipswich,Southampton,1.94845,1.17566
Newcastle United,Fulham,1.22716,1.60881
Nottingham Forest,Brighton,4.0677,0.756296
Wolverhampton Wanderers,Aston Villa,2.00146,0.742809
Arsenal,Manchester City,1.53202,0.743191
Brentford,Tottenham,1.66475,0.945355
Manchester United,Crystal Palace,1.50706,2.44633
Chelsea,West Ham,1.39066,1.1868
Everton,Liverpool,0.910523,0.929103
Brighton,Chelsea,2.06892,0.649788
Aston Villa,Ipswich,2.89841,0.332864
Crystal Palace,Everton,2.30646,1.01565
Fulham,Nottingham Forest,2.20993,0.331301
Leicester,Arsenal,0.233209,1.75
Manchester City,Newcastle United,2.12004,0.157211
Southampton,Bournemouth,0.974418,2.08722
West Ham,Brentford,0.673466,1.96499
Liverpool,Wolverhampton Wanderers,1.86758,1.05329
Tottenham,Manchester United,1.97109,1.42652
Aston Villa,Liverpool,1.02269,2.04279
Leicester,Brentford,0.727901,2.03465
Arsenal,West Ham,1.37264,1.02684
Aston Villa,Chelsea,2.69413,2.17418
Bournemouth,Wolverhampton Wanderers,0.629691,2.10124
Everton,Manchester United,2.10444,0.645685
Fulham,Crystal Palace,0.23426,1.46203
Ipswich,Tottenham,1.15389,1.58741
Southampton,Brighton,0.154147,5.12018
Manchester City,Liverpool,0.58248,0.807058
Newcastle United,Nottingham Forest,3.45858,2.38603
Brighton,Bournemouth,2.57927,1.70169
Chelsea,Southampton,2.98234,0.845039
Crystal Palace,Aston Villa,4.02522,0.667217
Wolverhampton Wanderers,Fulham,0.928973,1.43473
Brentford,Everton,1.34009,1.44955
Liverpool,Newcastle United,1.40027,0.45882
Manchester United,Ipswich,1.40202,1.04498
Nottingham Forest,Arsenal,0.508611,1.31766
Tottenham,Manchester City,1.28426,2.38641
West Ham,Leicester,1.70437,0.289578
Brentford,Aston Villa,0.637743,1.29638
Brighton,Fulham,1.94417,0.708227
Crystal Palace,Ipswich,3.13879,1.63282
Liverpool,Southampton,4.98996,0.511566
Nottingham Forest,Manchester City,0.501476,0.721234
Wolverhampton Wanderers,Everton,0.812432,1.3672
Chelsea,Leicester,1.76844,0.108487
Manchester United,Arsenal,1.31107,1.82996
Tottenham,Bournemouth,1.35053,2.22536
