HomeTeam,AwayTeam,HomeXG,AwayXG
Arsenal,Coventry,1.85424,0.558336
Brentford,Tottenham,4.04155,0.756284
Everton,Crystal Palace,1.45085,2.23095
Hull,Manchester United,1.49627,1.77874
Ipswich,Sunderland,1.58452,1.17743
Nottingham Forest,Leeds,0.656681,0.466247
Brighton,Aston Villa,4.00327,0.275249
Manchester City,Bournemouth,2.47444,0.707541
Newcastle United,Liverpool,1.59465,3.13133
Fulham,Chelsea,1.41707,2.58384
Crystal Palace,Manchester City,0.926624,2.56662
Bournemouth,Everton,2.25803,1.66352
Coventry,Hull,1.18233,0.459726
Liverpool,Nottingham Forest,1.27921,2.87937
Tottenham,Newcastle United,1.12037,1.00952
Chelsea,Brighton,3.8289,1.79173
Leeds,Brentford,1.14993,1.61344
Manchester United,Ipswich,4.86612,1.80548
Sunderland,Fulham,1.56229,1.02405
Aston Villa,Arsenal,0.281925,1.52441
Ipswich,Liverpool,0.597972,0.744139
Brentford,Sunderland,1.58584,2.15489
Brighton,Leeds,2.22026,2.23407
Fulham,Crystal Palace,2.88274,2.35981
Hull,Aston Villa,0.812385,1.63526
Manchester City,Coventry,2.19038,1.49306
Newcastle United,Bournemouth,0.771636,1.63891
Nottingham Forest,Tottenham,0.831692,1.48446
Arsenal,Chelsea,2.80555,0.430508
Everton,Manchester United,1.05629,0.872225
Aston Villa,Nottingham Forest,1.08786,2.79451
Bournemouth,Brentford,2.54949,0.794238
Chelsea,Hull,1.21374,1.80363
Crystal Palace,Ipswich,0.937888,2.03423
Liverpool,Fulham,1.79832,0.922453
Sunderland,Arsenal,2.07033,1.98905
Tottenham,Everton,0.736856,1.60056
Coventry,Brighton,1.04812,2.76518
Manchester United,Manchester City,0.943406,1.14073
Leeds,Newcastle United,2.2902,0.793165
Brentford,Chelsea,2.47935,0.885111
Brighton,Arsenal,2.11268,1.23979
Everton,Ipswich,2.58285,1.10179
Newcastle United,Hull,1.37521,1.15888
Nottingham Forest,Coventry,1.31852,0.69375
Tottenham,Aston Villa,1.72177,1.7092
Bournemouth,Liverpool,0.944706,1.29116
Fulham,Manchester United,1.71719,2.12453
Leeds,Crystal Palace,1.08552,1.12905
Manchester City,Sunderland,2.66856,3.10661
