HomeTeam,AwayTeam,HomeXG,AwayXG
Luton,Crystal Palace,0.996153,1.83546
Manchester City,Liverpool,1.79622,0.766278
Newcastle United,Chelsea,2.15227,0.968061
Nottingham Forest,Brighton,2.22655,1.21792
Sheffield United,Bournemouth,0.816227,3.13975
Everton,Manchester United,2.49764,2.07334
Tottenham,Aston Villa,2.22542,2.39755
Fulham,Wolverhampton Wanderers,2.49057,1.57875
Arsenal,Wolverhampton Wanderers,3.30368,1.07886
Brentford,Luton,3.25952,0.227176
Burnley,Sheffield United,2.60469,0.618131
Newcastle United,Manchester United,2.90191,0.422674
Nottingham Forest,Everton,0.673085,0.623789
Bournemouth,Aston Villa,2.54937,0.89511
Chelsea,Brighton,1.66304,0.855058
Liverpool,Fulham,2.72831,1.51005
Manchester City,Tottenham,2.90729,0.433077
West Ham,Crystal Palace,1.1466,0.987682
Luton,Arsenal,0.526254,2.58815
Wolverhampton Wanderers,Burnley,1.11886,0.781542
Aston Villa,Manchester City,2.1922,1.00198
Brighton,Brentford,1.54099,1.22007
Crystal Palace,Bournemouth,1.26441,1.79997
Fulham,Nottingham Forest,3.09427,0.218659
Manchester United,Chelsea,4.03949,2.3512
Sheffield United,Liverpool,0.834172,1.80116
Everton,Newcastle United,2.95393,1.29564
Tottenham,West Ham,1.61268,1.7409
Aston Villa,Arsenal,0.628499,1.71667
Brighton,Burnley,2.96247,1.05162
Crystal Palace,Liverpool,1.79152,1.3708
Manchester United,Bournemouth,1.11296,1.9742
Sheffield United,Brentford,0.841976,0.644638
Wolverhampton Wanderers,Nottingham Forest,1.02199,1.21801
Everton,Chelsea,1.11437,0.885512
Fulham,West Ham,2.1884,0.983
Luton,Manchester City,0.689037,2.23353
Tottenham,Newcastle United,4.40118,1.61368
Nottingham Forest,Tottenham,1.70569,1.60738
Burnley,Everton,0.811435,2.22305
Chelsea,Sheffield United,3.27322,0.44014
Manchester City,Crystal Palace,2.41646,1.64977
Newcastle United,Fulham,4.27933,0.471042
Arsenal,Brighton,2.76976,0.663054
Brentford,Aston Villa,0.796812,1.4664
Liverpool,Manchester United,1.97111,0.632715
West Ham,Wolverhampton Wanderers,1.03828,0.556206
Crystal Palace,Brighton,1.65409,1.33653
Aston Villa,Sheffield United,1.21861,0.646159
Fulham,Burnley,1.38096,0.41714
Liverpool,Arsenal,0.982901,0.851681
Luton,Newcastle United,1.81844,1.41488
Nottingham Forest,Bournemouth,0.791806,1.89067
Tottenham,Everton,1.57527,1.98385
West Ham,Manchester United,1.51468,0.730496
Wolverhampton Wanderers,Chelsea,1.74626,1.75447
Bournemouth,Fulham,2.07911,0.324365
Burnley,Liverpool,0.972389,1.68451
Manchester United,Aston Villa,1.20104,1.83637
Newcastle United,Nottingham Forest,2.79106,3.1074
Sheffield United,Luton,3.61788,0.715575
Brentford,Wolverhampton Wanderers,2.59347,1.89483
Chelsea,Crystal Palace,2.73005,0.958077
Everton,Manchester City,1.23529,2.28321
Arsenal,West Ham,2.7884,1.59711
Brighton,Tottenham,3.84702,2.06955
Aston Villa,Burnley,2.92587,1.11923
Crystal Palace,Brentford,1.61057,1.28731
Luton,Chelsea,2.64093,1.57463
Manchester City,Sheffield United,2.24229,0.263211
Nottingham Forest,Manchester United,0.744348,0.651905
Wolverhampton Wanderers,Everton,2.64477,0.519641
Fulham,Arsenal,1.52829,1.6591
Tottenham,Bournemouth,2.15027,1.58229
Liverpool,Newcastle United,6.67151,0.910974
West Ham,Brighton,0.9831,2.1552
Burnley,Luton,1.52023,0.965167
Chelsea,Fulham,2.0456,0.697847
