HomeTeam,AwayTeam,HomeXG,AwayXG
Crystal Palace,Arsenal,1.20637,1.43601
Bournemouth,Aston Villa,0.588341,0.488895
Everton,Chelsea,0.541983,1.92315
Fulham,Liverpool,1.26822,2.34111
Leeds,Wolverhampton Wanderers,0.88917,1.10119
Newcastle United,Nottingham Forest,1.8591,0.235825
Tottenham,Southampton,1.6172,0.386546
Leicester,Brentford,0.455695,0.931067
Manchester United,Brighton,1.42103,1.7289
West Ham,Manchester City,0.246188,2.58739
Arsenal,Leicester,3.0107,0.690679
Aston Villa,Everton,2.66696,1.37507
Brentford,Manchester United,1.38785,0.896038
Brighton,Newcastle United,1.60835,0.183952
Manchester City,Bournemouth,1.69064,0.123946
Southampton,Leeds,1.40906,1.99694
Wolverhampton Wanderers,Fulham,0.975375,1.08813
Chelsea,Tottenham,1.83945,1.58708
Nottingham Forest,West Ham,1.9717,2.08634
Liverpool,Crystal Palace,2.23596,1.64468
Bournemouth,Arsenal,0.211335,1.71081
Crystal Palace,Aston Villa,2.91137,0.803828
Everton,Nottingham Forest,1.43408,0.918315
Fulham,Brentford,2.89934,1.59352
Leicester,Southampton,0.242948,1.24155
Tottenham,Wolverhampton Wanderers,1.46608,0.686123
Leeds,Chelsea,2.20971,0.692492
Newcastle United,Manchester City,2.2127,3.67382
West Ham,Brighton,0.768634,1.82645
Manchester United,Liverpool,2.01764,1.52301
Arsenal,Fulham,2.47427,0.926007
Brentford,Everton,2.28391,1.65465
Brighton,Leeds,1.60986,1.14874
Chelsea,Leicester,1.74916,1.96023
Liverpool,Bournemouth,4.86035,0.180991
Manchester City,Crystal Palace,2.3853,0.091976
Southampton,Manchester United,1.35887,1.34359
Aston Villa,West Ham,0.304555,0.334589
Nottingham Forest,Tottenham,0.801369,2.44473
Wolverhampton Wanderers,Newcastle United,1.13248,1.93362
Crystal Palace,Brentford,0.777363,1.61808
Fulham,Brighton,1.07093,1.75359
Leeds,Everton,1.04551,1.17189
Southampton,Chelsea,1.44086,1.5047
Arsenal,Aston Villa,2.79971,0.297168
Bournemouth,Wolverhampton Wanderers,0.362035,1.53246
Liverpool,Newcastle United,1.76119,0.643546
Manchester City,Nottingham Forest,3.83759,0.729752
West Ham,Tottenham,1.52267,0.723285
Leicester,Manchester United,0.615266,1.09969
Aston Villa,Manchester City,0.279392,1.92143
Brentford,Leeds,2.7485,1.796
Chelsea,West Ham,0.707333,1.4196
Everton,Liverpool,1.39169,1.38617
Newcastle United,Crystal Palace,2.90672,0.920595
Nottingham Forest,Bournemouth,1.32895,0.905041
Tottenham,Fulham,2.67823,0.381556
Wolverhampton Wanderers,Southampton,1.10039,1.20838
Brighton,Leicester,2.73166,1.06549
Manchester United,Arsenal,2.02904,1.42238
Aston Villa,Southampton,1.34365,0.218302
Nottingham Forest,Fulham,1.41541,1.3496
Newcastle United,Bournemouth,1.54758,0.976948
Tottenham,Leicester,1.98619,1.59449
Wolverhampton Wanderers,Manchester City,0.310995,1.4242
Brentford,Arsenal,0.54011,1.32021
Everton,West Ham,0.39773,0.655351
Arsenal,Tottenham,2.48403,1.5027
Bournemouth,Brentford,0.758128,1.046
Crystal Palace,Chelsea,0.70987,1.25506
Fulham,Newcastle United,0.683701,4.67198
Liverpool,Brighton,2.1515,2.36567
Southampton,Everton,1.95961,1.99979
West Ham,Wolverhampton Wanderers,1.03934,0.575988
Leeds,Aston Villa,0.298626,1.89645
Manchester City,Manchester United,3.01103,1.71335
Leicester,Nottingham Forest,1.2497,1.22169
Bournemouth,Leicester,1.14891,1.18125
Brighton,Tottenham,0.899735,0.771641
Chelsea,Wolverhampton Wanderers,2.43092,0.748449
Manchester City,Southampton,2.73536,0.101148
Newcastle United,Brentford,2.44631,1.13466
Arsenal,Liverpool,2.81968,0.765151
Crystal Palace,Leeds,1.65194,1.06564
Everton,Manchester United,0.365844,1.82612
West Ham,Fulham,3.43676,0.549848
Nottingham Forest,Aston Villa,0.221346,0.657187
Brentford,Brighton,1.90636,2.15668
Fulham,Bournemouth,1.61738,1.62829
Leicester,Crystal Palace,0.973426,0.346808
Tottenham,Everton,2.49409,0.560039
Wolverhampton Wanderers,Nottingham Forest,1.22368,1.24761
Aston Villa,Chelsea,2.44542,1.23643
Leeds,Arsenal,2.02232,0.821757
Liverpool,Manchester City,1.9992,0.911493
Manchester United,Newcastle United,1.41606,0.78815
Southampton,West Ham,0.524479,1.70727
Brighton,Nottingham Forest,2.10188,0.195003
Crystal Palace,Wolverhampton Wanderers,1.25617,0.857837
Bournemouth,Southampton,0.810452,1.23878
Brentford,Chelsea,1.45228,0.557405
Liverpool,West Ham,2.24066,2.48649
Manchester United,Tottenham,1.70973,0.658526
Newcastle United,Everton,1.13393,0.0609567
Fulham,Aston Villa,2.892,0.711487
Leicester,Leeds,0.655249,1.19464
Chelsea,Manchester United,1.20238,0.730935
Everton,Crystal Palace,1.93396,0.597167
Manchester City,Brighton,1.86239,0.52863
Nottingham Forest,Liverpool,2.50163,2.19752
Aston Villa,Brentford,3.45617,1.00462
Leeds,Fulham,1.96384,2.47512
Southampton,Arsenal,0.622653,1.57897
Tottenham,Newcastle United,1.56513,1.1294
Wolverhampton Wanderers,Leicester,1.61785,0.989075
West Ham,Bournemouth,1.97715,0.730443
Bournemouth,Tottenham,0.887533,2.1946
Brentford,Wolverhampton Wanderers,1.29257,0.557605
Brighton,Chelsea,2.881,1.07554
Crystal Palace,Southampton,1.00384,1.35803
Fulham,Everton,1.76438,1.19166
Leicester,Manchester City,0.693597,0.703827
Liverpool,Leeds,1.90889,1.61271
Newcastle United,Aston Villa,4.18808,0.270814
Arsenal,Nottingham Forest,3.00699,0.206127
Manchester United,West Ham,1.7514,1.00033
Everton,Leicester,1.3729,2.2679
Leeds,Bournemouth,2.22532,1.55594
Manchester City,Fulham,2.39332,0.843884
Nottingham Forest,Brentford,1.29696,1.2204
Wolverhampton Wanderers,Brighton,1.29252,1.87375
Aston Villa,Manchester United,0.578563,0.517189
Chelsea,Arsenal,0.278815,2.37846
Southampton,Newcastle United,1.65228,1.42101
Tottenham,Liverpool,1.81736,1.46548
West Ham,Crystal Palace,0.192579,1.03344
Bournemouth,Everton,2.45642,0.768756
Liverpool,Southampton,2.74418,1.43427
Manchester City,Brentford,1.605,3.29012
Newcastle United,Chelsea,1.3601,0.359105
Nottingham Forest,Crystal Palace,1.23752,1.14552
Tottenham,Leeds,2.58046,1.71731
West Ham,Leicester,0.720721,1.60566
Wolverhampton Wanderers,Arsenal,0.512339,2.27996
Brighton,Aston Villa,0.829107,1.15437
Fulham,Manchester United,1.70218,3.37664
Arsenal,West Ham,1.88828,1.02652
Aston Villa,Liverpool,1.69155,3.50694
Brentford,Tottenham,2.25263,0.883787
Crystal Palace,Fulham,0.421754,2.69927
Everton,Wolverhampton Wanderers,1.22653,1.22076
Leicester,Newcastle United,0.31099,1.76382
Southampton,Brighton,1.70709,1.00714
Chelsea,Bournemouth,1.91378,0.44307
Manchester United,Nottingham Forest,2.13668,0.477076
Leeds,Manchester City,0.603751,4.16249
Liverpool,Leicester,2.02463,0.863312
West Ham,Brentford,1.13979,1.51436
Bournemouth,Crystal Palace,0.895819,1.75264
Brighton,Arsenal,1.15663,3.22106
Fulham,Southampton,1.49305,0.698711
Manchester City,Everton,2.36333,0.0760019
Newcastle United,Leeds,2.78846,0.517099
Wolverhampton Wanderers,Manchester United,0.587672,2.44728
Nottingham Forest,Chelsea,0.985219,1.37305
Tottenham,Aston Villa,0.569383,1.21733
Brentford,Liverpool,2.0991,2.10461
Arsenal,Newcastle United,0.970637,0.959523
Everton,Brighton,1.16896,2.50731
Leicester,Fulham,1.45221,1.33493
Manchester United,Bournemouth,2.97383,0.679022
Aston Villa,Wolverhampton Wanderers,1.03226,0.832522
Crystal Palace,Tottenham,0.787525,1.66514
Leeds,West Ham,1.2577,1.29245
Southampton,Nottingham Forest,0.62937,1.22324
Chelsea,Manchester City,0.493576,1.71972
Fulham,Chelsea,0.711266,2.39911
Aston Villa,Leeds,1.64599,2.46295
Brentford,Bournemouth,1.29815,0.269283
Brighton,Liverpool,2.40062,1.28853
Everton,Southampton,1.18191,1.08412
Manchester United,Manchester City,1.98228,0.73695
Nottingham Forest,Leicester,1.75313,0.803421
Wolverhampton Wanderers,West Ham,0.806232,0.735105
Chelsea,Crystal Palace,2.12987,0.837366
Newcastle United,Fulham,1.96256,0.989872
Tottenham,Arsenal,1.71032,2.04232
Crystal Palace,Manchester United,0.413339,1.39437
Manchester City,Tottenham,2.34166,1.16499
Bournemouth,Nottingham Forest,1.80549,1.57544
Crystal Palace,Newcastle United,0.333154,1.44384
Leicester,Brighton,1.35941,1.94491
Liverpool,Chelsea,1.30125,1.84467
Southampton,Aston Villa,0.672444,1.16432
West Ham,Everton,2.46879,0.286826
Arsenal,Manchester United,2.90273,0.272246
Leeds,Brentford,0.374736,0.17114
Manchester City,Wolverhampton Wanderers,3.32757,0.469277
Fulham,Tottenham,1.09339,0.993805
Chelsea,Fulham,1.41471,0.493341
Aston Villa,Leicester,1.4989,2.49784
Brentford,Southampton,2.36747,0.644385
Brighton,Bournemouth,2.55696,0.908298
Everton,Arsenal,2.09191,0.690102
Manchester United,Crystal Palace,2.07035,1.3798
Newcastle United,West Ham,1.22883,1.27831
Wolverhampton Wanderers,Liverpool,2.63328,1.30193
Nottingham Forest,Leeds,0.3325,1.12331
Tottenham,Manchester City,1.42168,0.773747
Manchester United,Leeds,2.00007,0.554798
Arsenal,Brentford,1.36738,2.17538
Bournemouth,Newcastle United,1.54458,1.54853
Crystal Palace,Brighton,0.928279,2.64981
Fulham,Nottingham Forest,1.69704,0.686824
Leicester,Tottenham,1.41208,1.11709
Southampton,Wolverhampton Wanderers,1.30203,0.615651
West Ham,Chelsea,1.07615,0.900465
Leeds,Manchester United,1.89163,1.30375
Manchester City,Aston Villa,3.60987,0.275348
Liverpool,Everton,2.23291,0.402331
Arsenal,Manchester City,1.70139,2.00841
Aston Villa,Arsenal,0.335752,2.85981
Brentford,Crystal Palace,0.610105,1.12202
Brighton,Fulham,2.71375,0.224214
Chelsea,Southampton,1.61723,0.619532
Everton,Leeds,1.53811,0.597403
Newcastle United,Liverpool,1.74852,2.16549
Nottingham Forest,Manchester City,1.12735,2.80966
Wolverhampton Wanderers,Bournemouth,0.911415,1.15274
Manchester United,Leicester,4.24663,1.39678
Tottenham,West Ham,1.43042,0.365173
Fulham,Wolverhampton Wanderers,0.913133,0.997097
Bournemouth,Manchester City,1.08527,2.98206
Crystal Palace,Liverpool,0.989086,1.35123
Everton,Aston Villa,1.54109,2.06037
Leeds,Southampton,0.720048,0.391128
Leicester,Arsenal,0.0203463,0.722059
West Ham,Nottingham Forest,3.05032,0.350849
Tottenham,Chelsea,0.926313,0.262281
Arsenal,Everton,3.06919,1.604
Liverpool,Wolverhampton Wanderers,2.70191,0.78681
Arsenal,Bournemouth,2.46279,1.74267
Aston Villa,Crystal Palace,0.890605,0.152761
Brighton,West Ham,3.49993,0.250045
Chelsea,Leeds,1.8678,0.633995
