Step,AddedFeature,Features,NumFeatures,MeanAccuracy,WeightedAccuracy,MeanLogLoss,MeanBrier,Brier_A,Brier_D,Brier_H,AccuracyChange,LogLossChange,BrierChange,TotalGames
0,BASELINE,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5,3,0.5407894736842105,0.5407894736842105,0.9904664682992368,0.1970036430628926,0.1921713415369808,0.1837928937863863,0.21504669386531067,0.0,0.0,0.0,1520
1,XGAgainstDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffLast5,4,0.5388157894736842,0.5388157894736842,0.9878703006580326,0.19640399295763142,0.1918361242494887,0.1836535337056637,0.21372232091774185,-0.0019736842105262387,-0.0025961676412041834,-0.0005996501052611958,1520
2,AwayPointsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffLast5 + AwayPointsLast5,5,0.5342105263157895,0.5342105263157895,0.9857483416230055,0.19588758783359703,0.19134271644158107,0.18355834923399628,0.21276169782521373,-0.006578947368421018,-0.004718126676231282,-0.0011160552292955872,1520
3,GDPerGameDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffLast5 + AwayPointsLast5 + GDPerGameDiff,6,0.530921052631579,0.530921052631579,0.9844757443321352,0.19569596488058996,0.1904949144744153,0.18363261118630997,0.21296036898104465,-0.009868421052631526,-0.005990723967101541,-0.0013076781823026518,1520
