Model,FeatureSet,TestSeason,Accuracy,LogLoss,NumFeatures
RandomForest,Baseline + All Points Features,23-24,0.5394736842105263,0.9953925846890164,7
GradientBoosting,Baseline,23-24,0.5131578947368421,1.030025041890754,3
GradientBoosting,Baseline + HomePointsLast5,23-24,0.531578947368421,1.023168531674841,4
GradientBoosting,Baseline + AwayPointsLast5,23-24,0.5394736842105263,1.01193271310039,4
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,23-24,0.5473684210526316,1.0011820876548765,5
GradientBoosting,Baseline + PointsDiffLast5,23-24,0.5210526315789473,1.0012493451027287,4
GradientBoosting,Baseline + HomeAwayPointsDiffLast5,23-24,0.5131578947368421,1.035038244605798,4
GradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,23-24,0.5236842105263158,1.0020719082032863,5
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,23-24,0.5368421052631579,0.9825284086858777,6
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,23-24,0.5368421052631579,1.0136037169276542,6
GradientBoosting,Baseline + All Points Features,23-24,0.55,0.9931035978883104,7
HistGradientBoosting,Baseline,23-24,0.45263157894736844,1.4669120700915383,3
HistGradientBoosting,Baseline + HomePointsLast5,23-24,0.47368421052631576,1.4758741824599388,4
HistGradientBoosting,Baseline + AwayPointsLast5,23-24,0.46578947368421053,1.450746037763909,4
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,23-24,0.47368421052631576,1.4634066586460692,5
HistGradientBoosting,Baseline + PointsDiffLast5,23-24,0.47368421052631576,1.4692038796884812,4
HistGradientBoosting,Baseline + HomeAwayPointsDiffLast5,23-24,0.46578947368421053,1.5267485848727933,4
HistGradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,23-24,0.45,1.5350134148047567,5
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,23-24,0.4842105263157895,1.4365575077104125,6
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,23-24,0.4763157894736842,1.4704899176544275,6
HistGradientBoosting,Baseline + All Points Features,23-24,0.46842105263157896,1.4626808184117677,7
LogisticRegression,Baseline,24-25,0.5342105263157895,0.9915628026131883,3
LogisticRegression,Baseline + HomePointsLast5,24-25,0.5342105263157895,0.9916822524959065,4
LogisticRegression,Baseline + AwayPointsLast5,24-25,0.5394736842105263,0.9889686956987207,4
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5,24-25,0.5421052631578948,0.9885683617220088,5
LogisticRegression,Baseline + PointsDiffLast5,24-25,0.5368421052631579,0.9896541346418374,4
LogisticRegression,Baseline + HomeAwayPointsDiffLast5,24-25,0.531578947368421,0.9972421118451237,4
LogisticRegression,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,24-25,0.531578947368421,0.9951708464051174,5
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,24-25,0.5421052631578948,0.9885680291123292,6
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,24-25,0.5289473684210526,0.9946398279925626,6
LogisticRegression,Baseline + All Points Features,24-25,0.5289473684210526,0.9946801244841553,7
RandomForest,Baseline,24-25,0.5184210526315789,1.0738535005796892,3
RandomForest,Baseline + HomePointsLast5,24-25,0.48947368421052634,1.0626312996808192,4
