Step,Operation,AddedFeature,RemovedFeature,Features,NumFeatures,MeanAccuracy,WeightedAccuracy,MeanLogLoss,MeanBrier,Brier_A,Brier_D,Brier_H,AccuracyChange,LogLossChange,BrierChange,TotalGames
0,BASELINE,,,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5,3,0.5407894736842105,0.5407894736842105,0.9904664682992368,0.1970036430628926,0.1921713415369808,0.1837928937863863,0.21504669386531067,0.0,0.0,0.0,1520
1,ADD,GDPerGameDiff,,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + GDPerGameDiff,4,0.5342105263157895,0.5342105263157895,0.9891177742406367,0.1968435519864246,0.1913101180071525,0.18392426225874525,0.21529627569337606,-0.006578947368421018,-0.0013486940586000529,-0.00016009107646802745,1520
