Model,FeatureSet,NumFeatures,MeanAccuracy,MeanLogLoss,BaselineAccuracy,BaselineLogLoss,AccuracyChange,LogLossChange
GradientBoosting,Baseline + PointsDiffLast5,4,0.5052631578947369,1.0707181321963155,0.4888157894736842,1.089606618832379,0.016447368421052655,-0.018888486636063462
GradientBoosting,Baseline + All Points Features,7,0.5006578947368421,1.0721783332504025,0.4888157894736842,1.089606618832379,0.011842105263157876,-0.01742828558197651
GradientBoosting,Baseline + HomePointsLast5,4,0.4980263157894737,1.0845121644195455,0.4888157894736842,1.089606618832379,0.009210526315789502,-0.005094454412833516
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,6,0.4953947368421053,1.0731393227021437,0.4888157894736842,1.089606618832379,0.006578947368421073,-0.01646729613023523
GradientBoosting,Baseline + AwayPointsLast5,4,0.49407894736842106,1.087479621320064,0.4888157894736842,1.089606618832379,0.0052631578947368585,-0.002126997512315043
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,5,0.49407894736842106,1.0836049967152426,0.4888157894736842,1.089606618832379,0.0052631578947368585,-0.006001622117136396
GradientBoosting,Baseline + HomeAwayPointsDiffLast5,4,0.4901315789473684,1.0903929636914766,0.4888157894736842,1.089606618832379,0.0013157894736842146,0.0007863448590976763
GradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,5,0.4901315789473684,1.072296078609733,0.4888157894736842,1.089606618832379,0.0013157894736842146,-0.017310540222645887
GradientBoosting,Baseline,3,0.4888157894736842,1.089606618832379,0.4888157894736842,1.089606618832379,0.0,0.0
GradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,6,0.4875,1.0874506913548427,0.4888157894736842,1.089606618832379,-0.0013157894736842146,-0.0021559274775362347
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,6,0.4710526315789474,1.425073148210974,0.45,1.427523684076917,0.02105263157894738,-0.0024505358659430154
HistGradientBoosting,Baseline + PointsDiffLast5,4,0.46842105263157896,1.4187926050020099,0.45,1.427523684076917,0.01842105263157895,-0.008731079074907111
HistGradientBoosting,Baseline + All Points Features,7,0.4677631578947369,1.4335148427343407,0.45,1.427523684076917,0.01776315789473687,0.005991158657423723
HistGradientBoosting,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,5,0.4644736842105263,1.435802939894102,0.45,1.427523684076917,0.014473684210526305,0.008279255817184916
HistGradientBoosting,Baseline + AwayPointsLast5,4,0.4638157894736842,1.4145553864798397,0.45,1.427523684076917,0.01381578947368417,-0.012968297597077294
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5,5,0.46249999999999997,1.440946948507012,0.45,1.427523684076917,0.012499999999999956,0.013423264430095116
HistGradientBoosting,Baseline + HomePointsLast5,4,0.45789473684210524,1.4448173423732336,0.45,1.427523684076917,0.007894736842105232,0.017293658296316572
HistGradientBoosting,Baseline + HomeAwayPointsDiffLast5,4,0.45657894736842103,1.4487670498597187,0.45,1.427523684076917,0.006578947368421018,0.021243365782801726
HistGradientBoosting,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,6,0.4552631578947368,1.4353389325838393,0.45,1.427523684076917,0.005263157894736803,0.007815248506922279
HistGradientBoosting,Baseline,3,0.45,1.427523684076917,0.45,1.427523684076917,0.0,0.0
LogisticRegression,Baseline + HomePointsLast5,4,0.5447368421052632,0.9835799924393331,0.5440789473684211,0.9834715656341173,0.0006578947368420796,0.00010842680521583326
LogisticRegression,Baseline,3,0.5440789473684211,0.9834715656341173,0.5440789473684211,0.9834715656341173,0.0,0.0
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5,5,0.5421052631578948,0.9830370626375745,0.5440789473684211,0.9834715656341173,-0.0019736842105263497,-0.000434502996542796
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,6,0.5414473684210527,0.9830447580315738,0.5440789473684211,0.9834715656341173,-0.0026315789473684292,-0.0004268076025435441
LogisticRegression,Baseline + HomeAwayPointsDiffLast5,4,0.5401315789473684,0.985766432737575,0.5440789473684211,0.9834715656341173,-0.003947368421052699,0.0022948671034577206
LogisticRegression,Baseline + PointsDiffLast5,4,0.5401315789473684,0.9845580380171626,0.5440789473684211,0.9834715656341173,-0.003947368421052699,0.0010864723830452672
LogisticRegression,Baseline + AwayPointsLast5,4,0.5394736842105263,0.9811586734516591,0.5440789473684211,0.9834715656341173,-0.004605263157894779,-0.002312892182458226
LogisticRegression,Baseline + All Points Features,7,0.5388157894736842,0.9845665859827233,0.5440789473684211,0.9834715656341173,-0.0052631578947368585,0.0010950203486059795
LogisticRegression,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,6,0.5388157894736842,0.9845535475003077,0.5440789473684211,0.9834715656341173,-0.0052631578947368585,0.0010819818661903513
LogisticRegression,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,5,0.5361842105263158,0.9860618996590088,0.5440789473684211,0.9834715656341173,-0.007894736842105288,0.002590334024891505
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + PointsDiffLast5,6,0.4993421052631579,1.0453433743708964,0.48684210526315785,1.1201385835091662,0.012500000000000067,-0.07479520913826976
RandomForest,Baseline + All Points Features,7,0.4986842105263158,1.0386767756187343,0.48684210526315785,1.1201385835091662,0.011842105263157932,-0.08146180789043189
RandomForest,Baseline + PointsDiffLast5 + HomeAwayPointsDiffLast5,5,0.4986842105263158,1.0729727383503174,0.48684210526315785,1.1201385835091662,0.011842105263157932,-0.04716584515884881
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5 + HomeAwayPointsDiffLast5,6,0.4953947368421052,1.0493965525435685,0.48684210526315785,1.1201385835091662,0.008552631578947367,-0.07074203096559772
RandomForest,Baseline + HomePointsLast5 + AwayPointsLast5,5,0.49407894736842106,1.079346308185198,0.48684210526315785,1.1201385835091662,0.007236842105263208,-0.04079227532396823
RandomForest,Baseline + AwayPointsLast5,4,0.49078947368421055,1.07853704565157,0.48684210526315785,1.1201385835091662,0.003947368421052699,-0.04160153785759624
RandomForest,Baseline + HomePointsLast5,4,0.49078947368421055,1.0829291522897855,0.48684210526315785,1.1201385835091662,0.003947368421052699,-0.037209431219380695
RandomForest,Baseline + PointsDiffLast5,4,0.4888157894736842,1.1165754516454958,0.48684210526315785,1.1201385835091662,0.0019736842105263497,-0.00356313186367041
RandomForest,Baseline,3,0.48684210526315785,1.1201385835091662,0.48684210526315785,1.1201385835091662,0.0,0.0
RandomForest,Baseline + HomeAwayPointsDiffLast5,4,0.48157894736842105,1.090053670180298,0.48684210526315785,1.1201385835091662,-0.005263157894736803,-0.03008491332886809
