Features,NumFeatures,MeanAccuracy,MeanLogLoss,MeanBrier
EloDiff + ShotDiffLast5 + HomeGDPerGame,3,0.5375000000000001,0.9813435723095691,0.19487413032036766
EloDiff + AwayPointsLast5 + XGAgainstDiffLast5,3,0.5289473684210526,0.9813625880518457,0.1950246267745969
EloDiff + ShotOTDiffLast5 + HomePointsLast5,3,0.5368421052631579,0.9814163150287414,0.19507785539497768
EloDiff + AwayGoalsAgainstLast5 + XGDDiffLast5,3,0.5388157894736842,0.9814165882535351,0.19505827311702212
EloDiff + HomePointsLast5 + HomeShotsOnTargetLast5,3,0.5342105263157895,0.9814534968697376,0.19513774224412594
EloDiff + ShotDiffLast5 + HomeElo,3,0.5414473684210526,0.9814648978612796,0.19481615157129734
ShotDiffLast5 + HomeElo + AwayElo,3,0.5414473684210526,0.981465035780134,0.19481617572875973
EloDiff + ShotDiffLast5 + AwayElo,3,0.5414473684210526,0.9814804942700203,0.19481885936603696
EloDiff + ShotDiffLast5 + HomeShotsOnTargetLast5,3,0.5328947368421053,0.981497241432317,0.19501232150445771
EloDiff + HomeGoalsAgainstLast5 + XGDDiffLast5,3,0.5414473684210527,0.9814987464495768,0.19504347983400472
EloDiff + HomeShotsAgainstLast5 + AwayShotsOnTargetAgainstLast5,3,0.5361842105263157,0.9814992612946265,0.19513833557440627
EloDiff + XGForDiffLast5 + XGDDiffLast5,3,0.5375,0.9815481402991832,0.195082252457828
EloDiff + XGAgainstDiffLast5 + XGDDiffLast5,3,0.5381578947368422,0.9815500465589917,0.1950829161457375
EloDiff + XGForDiffLast5 + XGAgainstDiffLast5,3,0.5381578947368422,0.9815568018661468,0.1950844640471119
EloDiff + AwayGoalsAgainstPerGame + XGDDiffLast5,3,0.5394736842105263,0.9815592734320686,0.19508808591631538
EloDiff + ShotOTDiffLast5 + AwayGoalsLast5,3,0.5414473684210526,0.9815890544450828,0.1951033189786592
EloDiff + GoalsPerGameDiff + XGDDiff,3,0.5317567567567568,0.9815924723365181,0.1953856354144148
EloDiff + ShotDiffLast5 + XGDDiff,3,0.5270270270270271,0.9815932709169577,0.1953201765467722
EloDiff + HomeShotsOnTargetAgainstLast5 + XGForDiffLast5,3,0.5355263157894736,0.9815977397486753,0.19498298659242713
EloDiff + HomePointsLast5 + HomeShotsAgainstLast5,3,0.5361842105263157,0.9816027557846481,0.19513987643296668
EloDiff + ShotOTDiffLast5 + HomeGDPerGame,3,0.5401315789473684,0.9816192974350786,0.19504821884283316
EloDiff + PPGDiff + XGDDiff,3,0.5310810810810811,0.9816696451120266,0.1953598587630757
EloDiff + ShotDiffLast5 + AwayPointsLast5,3,0.5368421052631579,0.981680551404583,0.1950253386890338
EloDiff + HomePointsLast5 + XGAgainstDiffLast5,3,0.5375,0.9816963458182426,0.1950978744461866
EloDiff + HomeGDPerGame + XGAgainstDiffLast5,3,0.5328947368421053,0.9817114237659909,0.1950343541936062
EloDiff + ShotDiffLast5 + HomePPG,3,0.5342105263157895,0.9817199650939614,0.1949676360345114
EloDiff + ShotOTDiffLast5 + HomeElo,3,0.5388157894736842,0.9817950789201569,0.19501171216892485
ShotOTDiffLast5 + HomeElo + AwayElo,3,0.5388157894736842,0.9817950873569197,0.1950117124324171
EloDiff + ShotOTDiffLast5 + AwayElo,3,0.5388157894736842,0.9817950934162902,0.19501171884061744
EloDiff + ShotDiffLast5 + HomeGoalsLast5,3,0.5368421052631579,0.9818332508722525,0.19512166038940615
EloDiff + HomeGoalsLast5 + XGAgainstDiffLast5,3,0.5368421052631579,0.9818611227873522,0.19518874740162387
EloDiff + XGDDiff + XGForDiffLast5,3,0.529054054054054,0.9818666440478843,0.19540394622458482
EloDiff + HomeGoalsAgainstLast5 + XGDDiff,3,0.5358108108108108,0.9818827522282683,0.19535468374611104
EloDiff + HomePPG + HomeShotsAgainstLast5,3,0.5401315789473684,0.9818937509165426,0.19510360771632365
EloDiff + HomeElo + XGAgainstDiffLast5,3,0.5302631578947368,0.9819071524727793,0.1949911869277752
HomeElo + AwayElo + XGAgainstDiffLast5,3,0.5302631578947368,0.981907167675665,0.1949911940910654
EloDiff + AwayElo + XGAgainstDiffLast5,3,0.5302631578947368,0.9819071766817418,0.1949911911306273
EloDiff + GoalsAgainstPerGameDiff + XGDDiffLast5,3,0.5368421052631579,0.9819503857054293,0.19517935611002113
EloDiff + HomePointsLast5 + HomeShotsOnTargetAgainstLast5,3,0.5348684210526315,0.9819625777253309,0.1951593207247331
EloDiff + HomeGoalsLast5 + HomeShotsAgainstLast5,3,0.5355263157894737,0.9820191871628614,0.1952505070517977
EloDiff + HomePPG + XGAgainstDiffLast5,3,0.531578947368421,0.982019643247508,0.19510900846439086
EloDiff + ShotOTDiffLast5 + HomePPG,3,0.5401315789473684,0.9820432892720345,0.19515058439710892
EloDiff + ShotDiffLast5 + HomeGoalsPerGame,3,0.5375,0.9820972985567964,0.1950334191894521
EloDiff + HomeGoalsPerGame + XGAgainstDiffLast5,3,0.5342105263157895,0.9821250794189661,0.19507438674657823
EloDiff + AwayPointsLast5 + XGForDiffLast5,3,0.5375000000000001,0.9821395196898166,0.19518177844014953
EloDiff + AwayGoalsAgainstPerGame + XGDDiff,3,0.5317567567567567,0.9821438959921058,0.19546542356041946
EloDiff + GoalAgainstDiffLast5 + XGDDiffLast5,3,0.5407894736842106,0.9821577061841038,0.19520392040758414
EloDiff + HomePointsLast5 + XGForDiffLast5,3,0.5355263157894736,0.9821746813178722,0.19521421254866111
EloDiff + HomeShotsOnTargetLast5 + AwayShotsOnTargetAgainstLast5,3,0.5322368421052631,0.9822247843388874,0.19540741882281654
EloDiff + ShotOTDiffLast5 + HomeShotsOnTargetLast5,3,0.5361842105263157,0.9822282440372372,0.19530034167540147
EloDiff + HomeShotsOnTargetLast5 + AwayShotsOnTargetLast5,3,0.5361842105263157,0.9822288099466179,0.19530056647322377
EloDiff + ShotDiffLast5,2,0.5348684210526315,0.982230652270967,0.195173840001533
EloDiff + ShotOTDiffLast5 + AwayShotsOnTargetLast5,3,0.5361842105263157,0.9822356420236532,0.19530187685796185
EloDiff + AwayShotsOnTargetAgainstLast5 + XGDDiff,3,0.5277027027027027,0.9822513150022416,0.1955338045556676
EloDiff + PPGDiff + ShotDiffLast5,3,0.5361842105263158,0.9822604366131892,0.19519799313854563
EloDiff + HomeShotsAgainstLast5,2,0.5401315789473684,0.982283135401028,0.19526728312247812
EloDiff + AwayElo + HomeShotsAgainstLast5,3,0.5375,0.9822923063364719,0.19513178248440713
EloDiff + HomeElo + HomeShotsAgainstLast5,3,0.5375,0.982292327673816,0.19513178527413544
HomeElo + AwayElo + HomeShotsAgainstLast5,3,0.5375,0.9822923310969155,0.19513178711148046
EloDiff + ShotDiffLast5 + AwayGoalsLast5,3,0.5368421052631579,0.9823021542561763,0.19514886457526565
EloDiff + HomeGoalsPerGame + HomeShotsAgainstLast5,3,0.5381578947368421,0.9823041467897147,0.1951425400042061
EloDiff + HomeShotsOnTargetLast5,2,0.5335526315789474,0.9823043644424481,0.1953315682401425
EloDiff + AwayShotsOnTargetAgainstLast5 + XGDDiffLast5,3,0.5388157894736842,0.9823343645634379,0.19527236057069935
EloDiff + AwayGoalsAgainstLast5 + XGDDiff,3,0.5324324324324324,0.9823501929019773,0.19554000261874244
EloDiff + PPGDiff + HomeShotsAgainstLast5,3,0.5394736842105263,0.9823615514872646,0.19532589787026997
EloDiff + GoalDiffLast5 + XGDDiff,3,0.5310810810810811,0.982388078327334,0.19553036974939791
EloDiff + PPGDiff + HomeShotsOnTargetLast5,3,0.5361842105263158,0.9823882238951571,0.19536135401136653
EloDiff + HomeGDPerGame + HomeShotsAgainstLast5,3,0.5427631578947368,0.9823956493010079,0.1952164462146673
EloDiff + PPGDiff + XGAgainstDiffLast5,3,0.5335526315789474,0.982395902656231,0.19531337938663473
EloDiff + ShotOTDiffLast5 + PPGDiff,3,0.5355263157894737,0.982406780340763,0.19534631792677581
EloDiff + GoalsPerGameDiff + XGAgainstDiffLast5,3,0.5388157894736842,0.9824081785387213,0.19532579763860092
EloDiff + ShotOTDiffLast5 + GoalDiffLast5,3,0.5375,0.9824132995983081,0.19527893863621365
EloDiff + GoalsPerGameDiff + HomeShotsAgainstLast5,3,0.5355263157894736,0.9824181149165709,0.1953653247172816
EloDiff + HomePointsLast5 + XGAgainstDiffPg,3,0.525,0.9824434944880368,0.19550399311569164
EloDiff + AwayPointsLast5 + HomeShotsAgainstLast5,3,0.5381578947368421,0.9824767759581028,0.19529700884886952
EloDiff + GDPerGameDiff + XGDDiff,3,0.5297297297297298,0.982482316493672,0.19552982888156745
EloDiff + HomeShotsAgainstLast5 + AwayShotsOnTargetLast5,3,0.5375,0.9824848783770352,0.19529514087305483
EloDiff + AwayElo + XGForDiffLast5,3,0.5414473684210526,0.9824950264404162,0.19511426883623037
HomeElo + AwayElo + XGForDiffLast5,3,0.5414473684210526,0.9824950411444708,0.1951142734253273
EloDiff + HomeElo + XGForDiffLast5,3,0.5414473684210526,0.9824950772679892,0.19511428336706194
EloDiff + ShotOTDiffLast5,2,0.5381578947368422,0.9825053608140013,0.19535055421801095
EloDiff + AwayGoalsLast5 + XGForDiffLast5,3,0.5453947368421053,0.9825307034684192,0.19522787659964605
EloDiff + ShotOTDiffLast5 + HomeGoalsLast5,3,0.5355263157894736,0.9825457544847922,0.19536332159604988
EloDiff + XGForDiffPg + XGAgainstDiffLast5,3,0.5344594594594594,0.9825663458036742,0.19543932268585587
EloDiff + GoalsPerGameDiff + ShotDiffLast5,3,0.5361842105263158,0.9825769098747695,0.19532433450445005
EloDiff + HomeGDPerGame + XGForDiffLast5,3,0.5375,0.9825835112402318,0.19523664496249202
EloDiff + ShotOTDiffLast5 + HomeGoalsPerGame,3,0.5414473684210526,0.9825995259565024,0.19524627631592548
EloDiff + AwayShotsAgainstLast5 + XGDDiffLast5,3,0.5401315789473684,0.9826042349052122,0.19538249212726108
EloDiff + HomeShotsOnTargetAgainstLast5 + AwayShotsOnTargetAgainstLast5,3,0.5322368421052631,0.9826103175932428,0.19533101981107417
EloDiff + HomePPG + HomeShotsOnTargetLast5,3,0.5348684210526315,0.9826163891465399,0.19529403688645178
EloDiff + XGAgainstDiffLast5,2,0.5368421052631579,0.98263446039239,0.1953496614588628
EloDiff + HomeGDPerGame + HomeShotsOnTargetLast5,3,0.5342105263157895,0.9826493087689502,0.19530878617302727
EloDiff + HomeGoalsLast5 + HomeShotsOnTargetAgainstLast5,3,0.5348684210526315,0.9826554606142034,0.19533435577206318
EloDiff + GoalDiffLast5 + HomeShotsAgainstLast5,3,0.5401315789473684,0.9826666271515161,0.1953786552913294
EloDiff + HomeShotsAgainstLast5 + XGAgainstDiffLast5,3,0.530921052631579,0.982695249367388,0.19537697732674872
EloDiff + HomeGoalsLast5 + HomeShotsOnTargetLast5,3,0.531578947368421,0.9826954049245604,0.19541349643483708
EloDiff + ShotDiffLast5 + HomeGoalsAgainstLast5,3,0.5342105263157895,0.9827268836003105,0.19521538742515196
EloDiff + XGAgainstDiffPg + XGDDiff,3,0.5304054054054054,0.9827343676038998,0.19560401474059022
EloDiff + XGForDiffPg + XGDDiff,3,0.5310810810810811,0.9827446748616373,0.19560875770236902
EloDiff + GoalDiffLast5 + HomeShotsOnTargetLast5,3,0.5328947368421053,0.9827456238201759,0.19544219629742116
EloDiff + GoalsPerGameDiff + HomeShotsOnTargetLast5,3,0.5335526315789474,0.9827605865235076,0.19548491803968351
EloDiff + ShotDiffLast5 + AwayShotsOnTargetAgainstLast5,3,0.5401315789473684,0.9827720112279424,0.1953637489105919
EloDiff + HomeShotsOnTargetLast5 + XGForDiffLast5,3,0.5388157894736841,0.9827745306753376,0.19535779525378025
EloDiff + XGForDiffPg + XGAgainstDiffPg,3,0.5310810810810811,0.9827782450664952,0.1956141281473135
EloDiff + AwayGoalsLast5 + XGAgainstDiffLast5,3,0.5348684210526315,0.9827798395926037,0.19535315816725018
EloDiff + HomeShotsOnTargetAgainstLast5 + XGAgainstDiffLast5,3,0.5342105263157895,0.9827876963225628,0.19536013206924122
EloDiff + ShotOTDiffLast5 + HomeGoalsAgainstLast5,3,0.5388157894736842,0.9827934600348076,0.19532730742399526
EloDiff + ShotDiffLast5 + GoalDiffLast5,3,0.531578947368421,0.982796780033002,0.19532173970688288
EloDiff + GDPerGameDiff + XGAgainstDiffLast5,3,0.5302631578947369,0.982814345740937,0.19538352403832046
EloDiff + ShotOTDiffLast5 + ShotDiffLast5,3,0.5388157894736842,0.9828314132361646,0.19530638359363256
EloDiff + ShotOTDiffLast5 + XGAgainstDiffPg,3,0.5310810810810811,0.982855531721929,0.19555242806237635
EloDiff + ShotDiffLast5 + AwayShotsOnTargetLast5,3,0.5348684210526315,0.9828626718431008,0.19532206574600305
EloDiff + AwayGoalsLast5 + HomeShotsAgainstLast5,3,0.5388157894736842,0.982879236161988,0.1953832492140103
EloDiff + HomePPG + XGForDiffLast5,3,0.5361842105263158,0.9828795486911504,0.19530828949252305
EloDiff + GoalDiffLast5 + XGAgainstDiffLast5,3,0.5375,0.9828911765725712,0.19540984276036463
EloDiff + AwayPointsLast5 + HomeShotsOnTargetLast5,3,0.5328947368421053,0.9829050376582953,0.19545125325915466
EloDiff + HomePPG + HomeShotsOnTargetAgainstLast5,3,0.5394736842105263,0.9829065503171783,0.19526132452738276
EloDiff + HomeShotsAgainstLast5 + XGAgainstDiffPg,3,0.5310810810810811,0.9829814594524813,0.1955902038091983
EloDiff + PPGDiff + HomeShotsOnTargetAgainstLast5,3,0.5381578947368421,0.9829879418070908,0.19539899204854663
EloDiff + HomeElo + HomeShotsOnTargetLast5,3,0.5355263157894736,0.9829944810767057,0.19531099503953622
HomeElo + AwayElo + HomeShotsOnTargetLast5,3,0.5355263157894736,0.9829945017173034,0.1953109958862539
EloDiff + AwayElo + HomeShotsOnTargetLast5,3,0.5355263157894736,0.9829945359453789,0.19531100386899766
EloDiff + GDPerGameDiff + ShotDiffLast5,3,0.5342105263157895,0.9830135410088979,0.1954096985914736
EloDiff + AwayShotsOnTargetLast5 + XGAgainstDiffLast5,3,0.5375,0.9830385716348897,0.19544043132158864
EloDiff + ShotOTDiffLast5 + GoalsPerGameDiff,3,0.5368421052631579,0.9830487831375716,0.19552687927959697
EloDiff + AwayGoalsAgainstLast5 + XGAgainstDiffLast5,3,0.5361842105263158,0.9830643886893514,0.1954430797002381
EloDiff + ShotOTDiffLast5 + AwayShotsOnTargetAgainstLast5,3,0.5355263157894737,0.9830710981764302,0.1955517530307253
