Model,Features,NumFeatures,MeanAccuracy,WeightedAccuracy,MeanLogLoss,Brier_A,Brier_D,Brier_H,TotalGames,AccuracyChange,LogLossChange
BASELINE + AwayElo + HomeElo + HomeGoalsLast5 + PPGDiff + AwayAwayGoalsLast5 + AwayGoalsAgainstPerGame,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayElo + HomeElo + HomeGoalsLast5 + PPGDiff + AwayAwayGoalsLast5 + AwayGoalsAgainstPerGame,9,0.5421052631578948,0.5421052631578948,0.9925959317496782,0.19241033049165304,0.18450846768557613,0.2148611213911223,1520,0.0013157894736842701,0.0021293143233209744
BASELINE + GDPerGameDiff + HomeGDPerGame + HomeGoalsLast5 + PPGDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + GDPerGameDiff + HomeGDPerGame + HomeGoalsLast5 + PPGDiff,7,0.5282894736842105,0.5282894736842105,0.9925966484447157,0.1922157945572373,0.1843996899102638,0.2154947404058249,1520,-0.012499999999999956,0.0021300310183585136
BASELINE + AwayGoalsAgainstLast5 + HomeGoalsPerGame + AwayAwayGoalsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayGoalsAgainstLast5 + HomeGoalsPerGame + AwayAwayGoalsLast5,6,0.5421052631578948,0.5421052631578948,0.9925969321240165,0.19226828358153236,0.1844847266430768,0.21499894668929143,1520,0.0013157894736842701,0.00213031469765923
BASELINE + GoalDiffLast5 + ShotDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + GoalDiffLast5 + ShotDiffLast5,5,0.5381578947368422,0.5381578947368421,0.9925969872459736,0.1928372596671111,0.1841923804480897,0.21517920104392455,1520,-0.002631578947368318,0.00213036981961634
BASELINE + HomePointsSeason + HomePPG + HomeAwayPointsDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomePointsSeason + HomePPG + HomeAwayPointsDiffLast5,6,0.5407894736842106,0.5407894736842105,0.9925974496670171,0.19242362853614312,0.18397583807817067,0.2153523980344633,1520,1.1102230246251565e-16,0.002130832240659908
BASELINE + HomePointsLast5 + AwayGDPerGame + HomeHomePointsLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomePointsLast5 + AwayGDPerGame + HomeHomePointsLast5,6,0.5375,0.5375,0.9925974708277926,0.19256445617883,0.1838445805107325,0.21631289869060188,1520,-0.003289473684210509,0.002130853401435373
BASELINE + HomeShotsOnTargetLast5 + HomeShotsAgainstLast5 + ShotDiffLast5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsOnTargetLast5 + HomeShotsAgainstLast5 + ShotDiffLast5,6,0.5375,0.5375,0.9925977768142489,0.19340367916964663,0.18434747673832097,0.21414425880550705,1520,-0.003289473684210509,0.002131159387891657
BASELINE + AwayShotsOnTargetAgainstLast5 + HomeGoalsPerGame + AwayElo,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayShotsOnTargetAgainstLast5 + HomeGoalsPerGame + AwayElo,6,0.5394736842105263,0.5394736842105263,0.9925983000866332,0.19170868442589223,0.1846736657801304,0.21485313443073953,1520,-0.001315789473684159,0.0021316826602759686
BASELINE + AwayShotsAgainstLast5 + HomeGoalsAgainstPerGame + GoalsPerGameDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + AwayShotsAgainstLast5 + HomeGoalsAgainstPerGame + GoalsPerGameDiff,6,0.5348684210526315,0.5348684210526315,0.9925983021738294,0.19261765708246534,0.1844517070822533,0.2153165699177575,1520,-0.005921052631578938,0.0021316847474721623
BASELINE + HomeShotsForLast5 + HomeShotsOnTargetAgainstLast5 + PPGDiff,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + HomeShotsForLast5 + HomeShotsOnTargetAgainstLast5 + PPGDiff,6,0.5401315789473684,0.5401315789473684,0.9925983597511421,0.19289037866807063,0.18403842228973608,0.21558002066233764,1520,-0.0006578947368420796,0.0021317423247848577
