Features,NumFeatures,AddedFeatures,Accuracy,AccuracyChange,LogLoss,LogLossChange
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,5,HomeShotsOnTargetLast5 + HomeShotsOnTargetAgainstLast5,0.540506329113924,-0.0025316455696202667,0.9802636640799397,0.002241399473732031
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetLast5 + AwayGDPerGame,5,HomeShotsOnTargetLast5 + AwayGDPerGame,0.5386075949367088,-0.004430379746835467,0.9807274111924114,0.0027051465862036883
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5 + AwayPPG,5,AwayGoalsLast5 + AwayPPG,0.5424050632911392,-0.0006329113924050667,0.9793293111672963,0.0013070465610885984
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,5,AwayGoalsLast5 + HomeShotsOnTargetAgainstLast5,0.5424050632911391,-0.0006329113924051777,0.9789335862647108,0.0009113216585031614
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayGoalsLast5 + AwayGDPerGame,5,AwayGoalsLast5 + AwayGDPerGame,0.5392405063291139,-0.0037974683544304,0.9802721310651759,0.002249866458968186
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPPG + HomeShotsOnTargetAgainstLast5,5,AwayPPG + HomeShotsOnTargetAgainstLast5,0.5436708860759494,0.0006329113924050667,0.9800923592825782,0.0020700946763705375
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + AwayPPG + AwayGDPerGame,5,AwayPPG + AwayGDPerGame,0.539873417721519,-0.0031645569620253333,0.9811312296703305,0.0031089650641228372
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,5,HomeShotsOnTargetAgainstLast5 + AwayGDPerGame,0.5417721518987342,-0.0012658227848101333,0.9813139133048612,0.0032916486986535043
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5,6,GoalDiffLast5 + HomePointsLast5 + AwayPointsLast5,0.5373417721518987,-0.0056962025316456,0.9782972932928911,0.0002750286866833873
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5,6,GoalDiffLast5 + HomePointsLast5 + HomeShotsOnTargetLast5,0.5411392405063291,-0.0018987341772152,0.9787848291816992,0.0007625645754915089
EloDiff + XGDDiffLast5 + GoalsPerGameDiff + GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5,6,GoalDiffLast5 + HomePointsLast5 + AwayGoalsLast5,0.540506329113924,-0.0025316455696202667,0.9798571472318885,0.0018348826256808781
