Features,NumFeatures,MeanAccuracy,MeanLogLoss,MeanBrier
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5,5,0.5355263157894736,0.9802875223330048,0.5836886833356498
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayGDPerGame + AwayElo,5,0.5355263157894736,0.9802875223330063,0.5836886833356507
EloDiff + AwayPointsLast5 + XGDDiffLast5 + AwayGDPerGame + HomeElo,5,0.5335526315789474,0.9803904821303153,0.5837015175794347
EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5,5,0.5335526315789474,0.9803904821303153,0.5837015175794348
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff,4,0.5361842105263157,0.9807342497377391,0.5846673031819225
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff,4,0.5394736842105263,0.9809543131180694,0.5846404853111622
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsOnTargetAgainstLast5 + GDPerGameDiff,5,0.5361842105263157,0.9810640315110736,0.5849230704556221
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + HomeShotsOnTargetAgainstLast5,5,0.5361842105263157,0.9810640315110736,0.5849230704556221
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + GDPerGameDiff,5,0.5361842105263157,0.9810640315110736,0.5849230704556221
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff + HomeGoalsLast5,5,0.5297297297297298,0.98108585470931,0.5851476870292606
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeGoalsLast5 + XGDDiff,5,0.5297297297297298,0.98108585470931,0.5851476870292607
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff,4,0.5317567567567567,0.981183990291465,0.5853588863593641
EloDiff + AwayPointsLast5 + XGDDiffLast5 + PPGDiff,4,0.5401315789473684,0.9812451393591413,0.5848927806100401
EloDiff + HomeShotsAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + GDPerGameDiff,5,0.5388157894736842,0.9812637975145486,0.5850818168347687
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsAgainstLast5 + GDPerGameDiff,5,0.5388157894736842,0.9812637975145486,0.5850818168347687
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + HomeShotsAgainstLast5,5,0.5388157894736842,0.9812637975145486,0.5850818168347687
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsOnTargetAgainstLast5 + GoalsPerGameDiff,5,0.5381578947368421,0.9812673553422888,0.5848534394751413
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + GoalsPerGameDiff,5,0.5381578947368421,0.9812673553422888,0.5848534394751413
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetAgainstLast5,5,0.5381578947368421,0.9812673553422888,0.5848534394751413
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff + AwayShotsOnTargetLast5,5,0.5317567567567567,0.9813133429151227,0.5855719884024301
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff + GDPerGameDiff,5,0.5348684210526315,0.9813427871701679,0.5850590765525073
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + GoalsPerGameDiff,5,0.5348684210526315,0.9813427871701679,0.5850590765525073
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff + AwayPPG,5,0.5297297297297298,0.9813434997239524,0.5855621522305245
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + HomePPG,5,0.5375,0.9813622187465254,0.584299888267821
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame,4,0.5388157894736842,0.981364827583773,0.5842847714124991
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff + XGDDiff,5,0.5317567567567567,0.9813815027360835,0.5855029504195046
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff + GoalsPerGameDiff,5,0.5317567567567567,0.9813815027360835,0.5855029504195046
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsAgainstPerGameDiff + GoalsPerGameDiff,5,0.5335526315789473,0.98140834335861,0.5851049010971814
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff + GoalsAgainstPerGameDiff,5,0.5335526315789473,0.98140834335861,0.5851049010971814
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + GoalsAgainstPerGameDiff,5,0.5342105263157895,0.9814408599758306,0.5851278005718945
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsAgainstPerGameDiff + GDPerGameDiff,5,0.5342105263157895,0.9814408599758306,0.5851278005718945
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsAgainstLast5 + GoalsPerGameDiff,5,0.5401315789473684,0.9814575111578199,0.5850626502272982
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsAgainstLast5,5,0.5401315789473684,0.9814575111578199,0.5850626502272982
EloDiff + HomeShotsAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + GoalsPerGameDiff,5,0.5401315789473684,0.98145751115782,0.5850626502272982
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsOnTargetAgainstLast5 + PPGDiff,5,0.5388157894736842,0.9814855520349142,0.5850638093940657
EloDiff + AwayPointsLast5 + XGDDiffLast5 + PPGDiff + HomeShotsOnTargetAgainstLast5,5,0.5388157894736842,0.9814855520349142,0.5850638093940657
EloDiff + HomeShotsOnTargetAgainstLast5 + XGDDiffLast5 + AwayPointsLast5 + PPGDiff,5,0.5388157894736842,0.9814855520349142,0.5850638093940657
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + HomeShotsAgainstLast5,5,0.5381578947368421,0.9814889803445788,0.5844100736048267
EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame,4,0.5388157894736842,0.9815300316512015,0.5843333295892157
EloDiff + HomeElo + XGDDiffLast5 + GDPerGameDiff + AwayPointsLast5,5,0.5375,0.9815569237965217,0.5847012942454115
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + HomeElo,5,0.5375,0.9815569237965218,0.5847012942454115
EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame + HomePPG,5,0.5368421052631579,0.9815646803495008,0.5843601604730759
EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame + AwayElo,5,0.5381578947368421,0.9815664632096639,0.5843535120843102
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + HomeElo,5,0.5381578947368421,0.9815664632096639,0.5843535120843102
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + HomeShotsOnTargetAgainstLast5,5,0.5388157894736842,0.9815720972161608,0.5844975593013483
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + AwayPPG,5,0.5361842105263157,0.9815839923224928,0.5853464570909294
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff + HomeGoalsPerGame,5,0.5304054054054054,0.981588000343183,0.585372635166572
EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeGoalsPerGame + XGDDiff,5,0.5304054054054054,0.981588000343183,0.585372635166572
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + AwayShotsOnTargetLast5,5,0.5368421052631579,0.9815880641443648,0.5852696259637948
EloDiff + AwayPointsLast5 + XGDDiffLast5 + PPGDiff + XGDDiff,5,0.5263513513513514,0.9815943058520816,0.5856303156357162
EloDiff + AwayPointsLast5 + XGDDiffLast5 + XGDDiff + PPGDiff,5,0.5263513513513514,0.9815943058520816,0.5856303156357162
EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame + HomeShotsAgainstLast5,5,0.5368421052631579,0.9816551323467194,0.5844579145122004
EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + ShotDiffLast5,5,0.5368421052631578,0.9816629931982105,0.5853999948638312
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + HomePointsLast5,5,0.5361842105263158,0.9816751357741087,0.5843928922867213
EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + GoalsPerGameDiff,5,0.5394736842105263,0.9816891478762393,0.584523032335599
EloDiff + AwayElo + XGDDiffLast5 + GoalsPerGameDiff + AwayGDPerGame,5,0.5394736842105263,0.9816891478762495,0.5845230323356049
