TestSeason,Model,Calibration,Accuracy,LogLoss
22-23,LogisticRegression,Original,0.5605263157894737,0.9795270947043606
22-23,LogisticRegression,Sigmoid,0.5605263157894737,0.9708333406107998
23-24,LogisticRegression,Original,0.5789473684210527,0.9309121852171429
23-24,LogisticRegression,Sigmoid,0.5789473684210527,0.9377833396642993
24-25,LogisticRegression,Original,0.5342105263157895,0.9915628026208816
24-25,LogisticRegression,Sigmoid,0.5368421052631579,0.9877524476207217
25-26,LogisticRegression,Original,0.5026315789473684,1.0318841800024625
25-26,LogisticRegression,Sigmoid,0.5026315789473684,1.030192211128026
