Model,Features,FeatureList,TrainGames,TestGames,Accuracy,LogLoss,Brier_A,Brier_D,Brier_H,AccuracyChange,LogLossChange,BrierAChange,BrierDChange,BrierHChange
BASELINE + XGDDiff + XGDDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGDDiff + XGDDiffLast5,1480,370,0.4837837837837838,1.0326953017968206,0.19792203265604194,0.2025271675027278,0.22168849119463613,-0.00832147937411093,-0.0025342475300766942,0.0012936499019881587,-0.00031904403075477816,-0.003179613466424508
BASELINE + XGForDiffLast5 + XGAgainstDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffLast5 + XGAgainstDiffLast5,1520,380,0.5,1.036089231646964,0.19771352423523758,0.2026738198862978,0.22284004092382245,0.007894736842105288,0.0008596823200668346,0.001085141481183799,-0.0001723916471847997,-0.002028063737238184
BASELINE + XGForDiffLast5 + XGDDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffLast5 + XGDDiffLast5,1520,380,0.5,1.0359928485124517,0.1976571435424638,0.2026658315931414,0.22284320248215808,0.007894736842105288,0.0007632991855544002,0.0010287607884100214,-0.00018037994034120208,-0.0020249021789025545
BASELINE + XGAgainstDiffLast5 + XGDDiffLast5,5,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGAgainstDiffLast5 + XGDDiffLast5,1520,380,0.5,1.036012573255739,0.1976911137891098,0.2026442335723658,0.22283741399671947,0.007894736842105288,0.0007830239288417751,0.0010627310350560248,-0.00020197796111678934,-0.002030690664341167
BASELINE + XGForDiffPg + XGAgainstDiffPg + XGDDiff,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffPg + XGDDiff,1480,370,0.4837837837837838,1.0317812424635644,0.19791250162097207,0.20237385726477775,0.22161453127998135,-0.00832147937411093,-0.0034483068633328617,0.001284118866918288,-0.0004723542687048443,-0.003253573381079289
BASELINE + XGForDiffPg + XGAgainstDiffPg + XGForDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffPg + XGForDiffLast5,1480,370,0.4756756756756757,1.0346048081512997,0.1987789090141573,0.20330610401601792,0.22188415872260367,-0.01642958748221901,-0.0006247411755975207,0.002150526260103508,0.00045989248253533455,-0.0029839459384569667
BASELINE + XGForDiffPg + XGAgainstDiffPg + XGAgainstDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffPg + XGAgainstDiffLast5,1480,370,0.4891891891891892,1.0316583474422163,0.19795733718584957,0.20201087250003258,0.220934181878098,-0.0029160739687055237,-0.0035712018846809634,0.0013289544317957869,-0.000835339033450011,-0.0039339227829626455
BASELINE + XGForDiffPg + XGAgainstDiffPg + XGDDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGAgainstDiffPg + XGDDiffLast5,1480,370,0.4837837837837838,1.033014564214463,0.19792707395911177,0.20267930994548705,0.2217275051750061,-0.00832147937411093,-0.0022149851124342312,0.001298691205057989,-0.00016690158799553823,-0.003140599486054524
BASELINE + XGForDiffPg + XGDDiff + XGForDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGDDiff + XGForDiffLast5,1480,370,0.4756756756756757,1.0346860298099254,0.1988046475993613,0.2033229715774045,0.22189049635505823,-0.01642958748221901,-0.0005435195169718465,0.0021762648453075295,0.0004767600439219144,-0.0029776083060024106
BASELINE + XGForDiffPg + XGDDiff + XGAgainstDiffLast5,6,EloDiff + ShotOTDiffLast5 + GoalAgainstDiffLast5 + XGForDiffPg + XGDDiff + XGAgainstDiffLast5,1480,370,0.4891891891891892,1.0315746435110495,0.19795831376849987,0.20197912015273187,0.220922113485015,-0.0029160739687055237,-0.003654905815847709,0.0013299310144460896,-0.000867091380750723,-0.003945991176045632
