NumFeatures,Features,MeanAccuracy,MeanLogLoss,MeanBrier
3,EloDiff + AwayPointsLast5 + XGDDiffLast5,0.5421052631578948,0.9817866222207733,0.5850472366466358
3,EloDiff + AwayGoalsLast5 + XGDDiffLast5,0.5414473684210527,0.9843856736016054,0.586888063535636
3,EloDiff + AwayElo + XGDDiffLast5,0.5447368421052632,0.9828987039781113,0.5851045359707479
3,EloDiff + HomeElo + XGDDiffLast5,0.5447368421052632,0.9827755474900098,0.5849848806573992
3,EloDiff + HomeShotsOnTargetLast5 + XGDDiffLast5,0.5414473684210527,0.9847203469859229,0.5874465831042319
3,EloDiff + ShotOTDiffLast5 + HomeShotsAgainstLast5,0.5407894736842105,0.9862054691869212,0.5874137924344989
3,EloDiff + ShotDiffLast5 + HomeShotsAgainstLast5,0.5401315789473684,0.9860089151869018,0.5871691063506861
4,EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff,0.5361842105263158,0.9807342497377393,0.5846673031819224
4,EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff,0.5394736842105263,0.9809543131180695,0.5846404853111622
4,EloDiff + AwayPointsLast5 + XGDDiffLast5 + PPGDiff,0.5401315789473684,0.9812451393591413,0.5848927806100402
4,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame,0.5388157894736842,0.9813648275837762,0.584284771412501
4,EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame,0.5388157894736842,0.9815300316512015,0.5843333295892157
4,EloDiff + AwayElo + XGDDiffLast5 + GDPerGameDiff,0.5407894736842105,0.9819718109454983,0.5849457044921915
4,EloDiff + AwayElo + XGDDiffLast5 + GoalsPerGameDiff,0.5460526315789473,0.9820736424114578,0.5848190284397753
4,EloDiff + HomeElo + XGDDiffLast5 + GoalsPerGameDiff,0.5453947368421053,0.9819792587728766,0.584722912738824
4,EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsOnTargetAgainstLast5,0.5414473684210527,0.9821129178197274,0.5852561145942883
4,EloDiff + AwayPointsLast5 + XGDDiffLast5 + HomeShotsAgainstLast5,0.5401315789473684,0.9822930593581878,0.5854719566906813
5,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5,0.5355263157894737,0.9802875223330062,0.5836886833356507
5,EloDiff + HomeElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5,0.5335526315789474,0.9803904821303152,0.5837015175794347
5,EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + HomeShotsAgainstLast5,0.5388157894736842,0.9812637975145486,0.5850818168347687
5,EloDiff + AwayPointsLast5 + XGDDiffLast5 + GDPerGameDiff + HomeShotsOnTargetAgainstLast5,0.5361842105263158,0.9810640315110736,0.584923070455622
5,EloDiff + AwayPointsLast5 + XGDDiffLast5 + GoalsPerGameDiff + HomeShotsOnTargetAgainstLast5,0.5381578947368421,0.9812673553422887,0.5848534394751413
5,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + HomePPG,0.5375,0.9813622187465252,0.5842998882678209
6,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomePPG,0.5335526315789474,0.9803697883959098,0.5837130568209601
6,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeElo,0.5335526315789474,0.9804215912227903,0.5837168472992006
6,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomePointsLast5,0.5388157894736842,0.9812961029877137,0.5841444475868389
6,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + AwayShotsOnTargetLast5,0.5368421052631579,0.981264421009515,0.5841034595102632
6,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + HomeGDPerGame,0.5355263157894737,0.9808971076776409,0.5840836819223805
6,EloDiff + AwayElo + XGDDiffLast5 + AwayGDPerGame + AwayPointsLast5 + GoalsPerGameDiff,0.5335526315789474,0.980560343094943,0.5838629242103993
